,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,90,CL,1556421785,93,-53.16,-70.91,44.6,6.93
1,Touros,20,BR,1556420400,94,-5.2,-35.46,77,4.7
2,Avera,1,US,1556422077,62,33.19,-82.53,71.01,6.93
3,Thompson,40,CA,1556420400,57,55.74,-97.86,23,5.82
4,Atuona,3,PF,1556422088,75,-9.8,-139.03,84.27,20.6
5,Kavaratti,100,IN,1556421917,77,10.57,72.64,84.27,8.39
6,Barrow,0,AR,1556422089,73,-38.31,-60.23,57.27,9.01
7,Gamba,1,CN,1556422089,43,28.28,88.52,39.81,5.66
8,Hermanus,0,ZA,1556421398,96,-34.42,19.24,60.01,7
10,Vaini,48,IN,1556420400,73,15.34,74.49,77,2.24
11,Ribeira Grande,57,PT,1556422091,91,38.52,-28.7,62.31,17.47
12,Mataura,93,NZ,1556421009,83,-46.19,168.86,52,5.53
13,Rikitea,33,PF,1556422091,86,-23.12,-134.97,75.81,16.75
14,Iqaluit,90,CA,1556421761,92,63.75,-68.52,24.8,9.17
15,San Jose,79,PH,1556422092,22,15.79,120.99,96.15,8.81
16,Airai,67,TL,1556422093,49,-8.93,125.41,89.85,2.95
17,Ahipara,4,NZ,1556421889,100,-35.17,173.16,69.01,7.38
18,College,1,US,1556422052,23,64.86,-147.8,53.6,9.17
19,Fortuna,0,ES,1556422058,87,38.18,-1.13,55.99,1.54
20,Saint-Philippe,90,CA,1556422081,69,45.36,-73.48,39,16.11
21,Kralendijk,70,BQ,1556420100,78,12.15,-68.27,80.6,19.46
22,Longyearbyen,90,NO,1556421600,79,78.22,15.63,32,3.29
23,Torbay,90,CA,1556421806,100,47.66,-52.73,32,11.41
24,San Patricio,100,PY,1556422095,97,-26.98,-56.83,66.99,4.68
25,Bambous Virieux,40,MU,1556421844,83,-20.34,57.76,75,6.93
26,Ust-Nera,40,RU,1556422096,72,64.57,143.24,25.95,5.66
27,Upernavik,72,GL,1556422096,85,72.79,-56.15,10.47,13.85
28,Broken Hill,0,AU,1556420400,45,-31.97,141.45,64.4,11.41
29,Hobart,62,AU,1556422094,38,-42.88,147.33,60.8,16.11
30,Albany,90,US,1556422067,56,42.65,-73.75,45,18.34
31,Bluff,0,AU,1556422098,40,-23.58,149.07,83.19,11.48
32,Mucurapo,20,TT,1556421906,83,10.67,-61.53,78.8,6.93
34,Ushuaia,40,AR,1556420400,80,-54.81,-68.31,41,3.36
35,Jamestown,0,AU,1556422051,41,-33.21,138.6,66.99,7.02
36,Mehamn,69,NO,1556422099,75,71.03,27.85,30.45,11.27
37,Manzanillo,0,CU,1556422100,71,20.34,-77.12,81.75,10.8
38,Fare,100,PF,1556422100,79,-16.7,-151.02,83.55,16.64
39,Nuevo Progreso,1,US,1556421921,73,26.05,-97.95,73.99,8.05
41,Itapecerica,25,BR,1556422101,91,-20.47,-45.13,65.91,3.62
42,Qasigiannguit,71,GL,1556419800,86,68.82,-51.19,28.4,10.29
43,Santiago,0,CL,1556421803,63,-33.44,-70.65,70,3.06
44,Shache,66,CN,1556421373,56,38.42,77.24,60.01,4.99
45,Bontang,100,ID,1556422102,89,0.12,117.47,81.75,2.17
46,Hervey Bay,75,AU,1556421308,57,-25.3,152.85,84,13.87
47,Dudinka,40,RU,1556420400,77,69.41,86.18,5,4.47
48,Beloha,1,MG,1556422103,93,-25.17,45.06,66.27,2.33
49,Tarabuco,90,BO,1556422104,90,-19.18,-64.92,56.19,5.57
50,San Pedro,30,AR,1556421883,87,-33.68,-59.66,61,1.01
51,Port Alfred,0,ZA,1556422047,96,-33.59,26.89,61,5.41
52,Souillac,75,FR,1556422029,87,45.6,-0.6,48,3.36
53,Sumbe,98,AO,1556422106,87,-11.2,13.84,79.23,7.74
55,Saint George,20,GR,1556421812,87,39.45,22.34,61,6.02
56,Okato,4,NZ,1556422046,57,-39.19,173.88,64.99,5.01
57,Severo-Kurilsk,3,RU,1556422108,79,50.68,156.12,35.13,15.26
58,Svetlogorsk,40,RU,1556420400,71,53.14,59.15,51.8,17.9
59,Dickinson,40,US,1556421851,82,46.88,-102.79,39.99,12.75
61,Port Macquarie,0,AU,1556421905,33,-31.43,152.91,80.01,4.7
62,Bom Jesus,20,BR,1556420400,94,-5.99,-35.58,78.8,4.7
63,Tuktoyaktuk,40,CA,1556420400,84,69.44,-133.03,8.6,6.93
64,Tiksi,95,RU,1556422110,92,71.64,128.87,33.87,9.22
65,Klaksvik,0,FO,1556421600,93,62.23,-6.59,44.6,5.82
66,Trincomalee,100,LK,1556422110,78,8.58,81.23,82.65,3.02
67,Saskylakh,100,RU,1556422111,90,71.97,114.09,8.49,9.71
